AÑO,AREA,NIVEL,HOMBRE,MUJER
2019,INGENIERÍAS,2,340,122
2019,INGENIERÍAS,3,135,30
2019,INGENIERÍAS,C,676,362
2019,MEDICINA Y CIENCIAS DE LA SALUD,1,859,1111
2019,MEDICINA Y CIENCIAS DE LA SALUD,2,298,329
2019,MEDICINA Y CIENCIAS DE LA SALUD,3,220,115
2019,MEDICINA Y CIENCIAS DE LA SALUD,C,266,358
2020,BIOLOGÍA Y QUÍMICA,1,1296,1339
2020,BIOLOGÍA Y QUÍMICA,2,455,337
2020,BIOLOGÍA Y QUÍMICA,3,310,150
2020,BIOLOGÍA Y QUÍMICA,C,489,536
2020,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,1387,1007
2020,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,2,302,163
2020,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,3,151,60
2020,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,C,630,709
2020,CIENCIAS SOCIALES,1,1336,1159
2020,CIENCIAS SOCIALES,2,430,354
2020,CIENCIAS SOCIALES,3,272,143
2020,CIENCIAS SOCIALES,C,873,917
2020,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,1,1534,672
2020,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,2,703,233
2020,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,3,530,123
2020,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,C,741,443
2020,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,1,1110,1258
2020,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,2,327,336
2020,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,3,161,158
2020,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,C,636,841
2020,INGENIERÍAS,1,1971,921
2020,INGENIERÍAS,2,347,121
2020,INGENIERÍAS,3,141,30
2020,INGENIERÍAS,C,774,424
2020,MEDICINA Y CIENCIAS DE LA SALUD,1,938,1163
2020,MEDICINA Y CIENCIAS DE LA SALUD,2,313,342
2020,MEDICINA Y CIENCIAS DE LA SALUD,3,228,127
2020,MEDICINA Y CIENCIAS DE LA SALUD,C,297,417
2021,BIOLOGÍA Y QUÍMICA,1,1375,1400
2021,BIOLOGÍA Y QUÍMICA,2,490,382
2021,BIOLOGÍA Y QUÍMICA,3,335,165
2021,BIOLOGÍA Y QUÍMICA,C,547,601
2021,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,1589,1184
2021,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,2,306,169
2021,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,3,156,61
2021,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,C,665,723
2021,CIENCIAS SOCIALES,1,1464,1277
2021,CIENCIAS SOCIALES,2,464,365
2021,CIENCIAS SOCIALES,3,269,148
2021,CIENCIAS SOCIALES,C,954,996
2021,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,1,1609,729
2021,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,2,724,232
2021,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,3,539,131
2021,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,C,743,446
2021,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,1,1162,1355
2021,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,2,356,339
2021,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,3,162,163
2021,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,C,659,849
2021,INGENIERÍAS,1,2100,975
2021,INGENIERÍAS,2,363,130
2021,INGENIERÍAS,3,147,31
2021,INGENIERÍAS,C,793,423
2021,MEDICINA Y CIENCIAS DE LA SALUD,1,967,1165
2021,MEDICINA Y CIENCIAS DE LA SALUD,2,309,339
2021,MEDICINA Y CIENCIAS DE LA SALUD,3,236,148
2021,MEDICINA Y CIENCIAS DE LA SALUD,C,311,458
2023,BIOLOGÍA Y QUÍMICA,1,1863,1969
2023,BIOLOGÍA Y QUÍMICA,2,589,462
2023,BIOLOGÍA Y QUÍMICA,3,345,197
2023,BIOLOGÍA Y QUÍMICA,C,503,630
2023,BIOLOGÍA Y QUÍMICA,E,78,42
2023,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,1478,1035
2023,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,2,245,116
2023,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,3,86,38
2023,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,C,556,614
2023,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,E,25,3
2023,CIENCIAS SOCIALES,1,2031,1884
2023,CIENCIAS SOCIALES,2,513,431
2023,CIENCIAS SOCIALES,3,220,146
2023,CIENCIAS SOCIALES,C,1040,1155
2023,CIENCIAS SOCIALES,E,71,21
2023,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,1,1853,888
2023,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,2,749,259
2023,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,3,469,126
2023,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,C,562,351
2023,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,E,91,25
2023,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,1,1546,1847
2023,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,2,428,428
2023,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,3,118,133
2023,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,C,742,1034
2023,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,E,51,53
2023,INGENIERÍAS,1,2706,1402
2023,INGENIERÍAS,2,538,255
2023,INGENIERÍAS,3,186,74
2023,INGENIERÍAS,C,675,333
2023,INGENIERÍAS,E,55,10
2023,INTERDISCIPLINARIA,1,69,66
2023,INTERDISCIPLINARIA,2,2,0
2023,INTERDISCIPLINARIA,C,128,146
2023,MEDICINA Y CIENCIAS DE LA SALUD,1,1156,1383
2023,MEDICINA Y CIENCIAS DE LA SALUD,2,342,401
2023,MEDICINA Y CIENCIAS DE LA SALUD,3,193,145
2023,MEDICINA Y CIENCIAS DE LA SALUD,C,376,505
2023,MEDICINA Y CIENCIAS DE LA SALUD,E,57,25
2024,BIOLOGÍA Y QUÍMICA,1,1664,1857
2024,BIOLOGÍA Y QUÍMICA,2,644,524
2024,BIOLOGÍA Y QUÍMICA,3,344,232
2024,BIOLOGÍA Y QUÍMICA,C,601,758
2024,BIOLOGÍA Y QUÍMICA,E,85,54
2024,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,1884,1487
2024,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,2,332,220
2024,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,3,138,70
2024,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,C,615,680
2024,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,E,43,7
2024,CIENCIAS SOCIALES,1,2067,1960
2024,CIENCIAS SOCIALES,2,556,454
2024,CIENCIAS SOCIALES,3,210,149
2024,CIENCIAS SOCIALES,C,1233,1416
2024,CIENCIAS SOCIALES,E,77,35
2024,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,1,1997,932
2024,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,2,827,310
2024,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,3,485,135
2024,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,C,627,408
2024,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,E,110,32
2024,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,1,1512,1902
2024,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,2,447,457
2024,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,3,112,117
2024,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,C,867,1268
2024,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,E,58,57
2024,INGENIERÍAS,1,2223,1022
2024,INGENIERÍAS,2,366,128
2024,INGENIERÍAS,3,128,43
2024,INGENIERÍAS,C,744,356
2024,INGENIERÍAS,E,45,11
2024,INTERDISCIPLINARIA,1,269,263
2024,INTERDISCIPLINARIA,2,79,47
2024,INTERDISCIPLINARIA,3,19,11
2024,INTERDISCIPLINARIA,C,191,222
2024,INTERDISCIPLINARIA,E,2,1
2024,MEDICINA Y CIENCIAS DE LA SALUD,1,1117,1326
2024,MEDICINA Y CIENCIAS DE LA SALUD,2,340,402
2024,MEDICINA Y CIENCIAS DE LA SALUD,3,191,137
2024,MEDICINA Y CIENCIAS DE LA SALUD,C,502,637
2024,MEDICINA Y CIENCIAS DE LA SALUD,E,68,33
2025,BIOLOGÍA Y QUÍMICA,1,1639,1803
2025,BIOLOGÍA Y QUÍMICA,2,706,609
2025,BIOLOGÍA Y QUÍMICA,3,358,242
2025,BIOLOGÍA Y QUÍMICA,C,615,801
2025,BIOLOGÍA Y QUÍMICA,E,88,54
2025,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,1861,1478
2025,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,2,388,289
2025,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,3,151,82
2025,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,C,556,601
2025,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,E,52,12
2025,CIENCIAS SOCIALES,1,2130,2086
2025,CIENCIAS SOCIALES,2,600,498
2025,CIENCIAS SOCIALES,3,218,151
2025,CIENCIAS SOCIALES,C,1213,1503
2025,CIENCIAS SOCIALES,E,80,44
2025,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,1,1934,919
2025,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,2,874,345
2025,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,3,520,144
2025,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,C,519,360
2025,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,E,118,38
2025,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,1,1562,1998
2025,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,2,480,506
2025,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,3,123,118
2025,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,C,885,1280
2025,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,E,63,63
2025,INGENIERÍAS,1,2158,997
2025,INGENIERÍAS,2,462,168
2025,INGENIERÍAS,3,131,43
2025,INGENIERÍAS,C,714,343
2025,INGENIERÍAS,E,49,12
2025,INTERDISCIPLINARIA,1,292,313
2025,INTERDISCIPLINARIA,2,80,48
2025,INTERDISCIPLINARIA,3,20,11
2025,INTERDISCIPLINARIA,C,277,331
2025,INTERDISCIPLINARIA,E,2,1
2025,MEDICINA Y CIENCIAS DE LA SALUD,1,1057,1302
2025,MEDICINA Y CIENCIAS DE LA SALUD,2,348,433
2025,MEDICINA Y CIENCIAS DE LA SALUD,3,188,145
2025,MEDICINA Y CIENCIAS DE LA SALUD,C,495,601
2025,MEDICINA Y CIENCIAS DE LA SALUD,E,74,37
