AÑO,AREA,NIVEL,GENERO,ENTIDAD,REGION,N
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,San Luis Potosí,Centronorte,5
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Sin dato / Extranjero,Sin dato / Extranjero,6
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Sinaloa,Noroeste,3
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Sonora,Noroeste,5
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Tlaxcala,Oriente,1
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Veracruz,Oriente,15
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Yucatán,Sureste,5
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Baja California,Noroeste,7
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Baja California Sur,Noroeste,2
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Chiapas,Suroeste,1
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Chihuahua,Noroeste,1
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Ciudad de México,Centrosur,131
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Colima,Occidente,1
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Guanajuato,Centronorte,7
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Jalisco,Occidente,1
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Michoacán,Occidente,7
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Morelos,Centrosur,26
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,México,Centrosur,6
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Nuevo León,Noreste,1
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Puebla,Oriente,2
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Querétaro,Centronorte,7
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Quintana Roo,Sureste,1
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,San Luis Potosí,Centronorte,4
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Sin dato / Extranjero,Sin dato / Extranjero,8
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Sinaloa,Noroeste,1
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Sonora,Noroeste,3
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Veracruz,Oriente,9
2015,BIOLOGÍA Y QUÍMICA,3,HOMBRE,Yucatán,Sureste,5
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Baja California,Noroeste,1
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Ciudad de México,Centrosur,76
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Coahuila,Noreste,1
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Guanajuato,Centronorte,4
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Jalisco,Occidente,1
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Michoacán,Occidente,1
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Morelos,Centrosur,14
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,México,Centrosur,5
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Nuevo León,Noreste,2
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Puebla,Oriente,2
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Querétaro,Centronorte,2
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,San Luis Potosí,Centronorte,1
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Sin dato / Extranjero,Sin dato / Extranjero,1
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Sinaloa,Noroeste,1
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Sonora,Noroeste,1
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Tlaxcala,Oriente,2
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Veracruz,Oriente,2
2015,BIOLOGÍA Y QUÍMICA,3,MUJER,Yucatán,Sureste,2
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Aguascalientes,Centronorte,6
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Baja California,Noroeste,9
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Baja California Sur,Noroeste,15
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Campeche,Sureste,3
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Chiapas,Suroeste,5
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Chihuahua,Noroeste,6
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Ciudad de México,Centrosur,112
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Coahuila,Noreste,4
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Colima,Occidente,2
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Durango,Noroeste,3
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Guanajuato,Centronorte,24
2015,BIOLOGÍA Y QUÍMICA,C,HOMBRE,Guerrero,Suroeste,6
